"Notes"	"Age"	"Age Code"	"Ethnicity"	"Ethnicity Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	285612
	"< 1 year"	"0"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1097641
	"< 1 year"	"0"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	295174
	"< 1 year"	"0"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1155250
	"1 year"	"1"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	283082
	"1 year"	"1"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1089792
	"1 year"	"1"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	293011
	"1 year"	"1"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1144905
	"2 years"	"2"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	288839
	"2 years"	"2"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1089445
	"2 years"	"2"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	297082
	"2 years"	"2"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1144151
	"3 years"	"3"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	296458
	"3 years"	"3"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1120719
	"3 years"	"3"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	305277
	"3 years"	"3"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1174759
	"4 years"	"4"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	288694
	"4 years"	"4"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1099880
	"4 years"	"4"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	297917
	"4 years"	"4"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1159039
	"5 years"	"5"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	287012
	"5 years"	"5"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1103529
	"5 years"	"5"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	296322
	"5 years"	"5"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1163389
	"6 years"	"6"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	288926
	"6 years"	"6"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1102848
	"6 years"	"6"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	298988
	"6 years"	"6"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1161537
	"7 years"	"7"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"Black or African American"	"2054-5"	290254
	"7 years"	"7"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1117132
	"7 years"	"7"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"Black or African American"	"2054-5"	299533
	"7 years"	"7"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1173787
