"Notes"	"Age"	"Age Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	297062
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	1017347
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	307232
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	1067836
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	299734
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	1022847
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	308959
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	1072490
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	309681
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	1055804
	"2 years"	"2"	"Male"	"M"	"Black or African American"	"2054-5"	318681
	"2 years"	"2"	"Male"	"M"	"White"	"2106-3"	1106564
	"3 years"	"3"	"Female"	"F"	"Black or African American"	"2054-5"	307659
	"3 years"	"3"	"Female"	"F"	"White"	"2106-3"	1066472
	"3 years"	"3"	"Male"	"M"	"Black or African American"	"2054-5"	318887
	"3 years"	"3"	"Male"	"M"	"White"	"2106-3"	1120214
	"4 years"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	300827
	"4 years"	"4"	"Female"	"F"	"White"	"2106-3"	1067584
	"4 years"	"4"	"Male"	"M"	"Black or African American"	"2054-5"	309983
	"4 years"	"4"	"Male"	"M"	"White"	"2106-3"	1124920
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	295241
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	1076496
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	305706
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	1131643
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	293403
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	1093007
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	303280
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	1150276
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	291519
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	1090900
	"7 years"	"7"	"Male"	"M"	"Black or African American"	"2054-5"	300632
