"Notes"	"Age"	"Age Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Projected Populations
	"< 1 year"	"0"	"Female"	"F"	"Black or African American"	"2054-5"	261682
	"< 1 year"	"0"	"Female"	"F"	"White"	"2106-3"	979943
	"< 1 year"	"0"	"Male"	"M"	"Black or African American"	"2054-5"	269892
	"< 1 year"	"0"	"Male"	"M"	"White"	"2106-3"	1031178
	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	266799
	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	962351
	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	277003
	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	1011550
	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	270197
	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	962253
	"2 years"	"2"	"Male"	"M"	"Black or African American"	"2054-5"	278578
	"2 years"	"2"	"Male"	"M"	"White"	"2106-3"	1013037
	"3 years"	"3"	"Female"	"F"	"Black or African American"	"2054-5"	270461
	"3 years"	"3"	"Female"	"F"	"White"	"2106-3"	967853
	"3 years"	"3"	"Male"	"M"	"Black or African American"	"2054-5"	279190
	"3 years"	"3"	"Male"	"M"	"White"	"2106-3"	1021493
	"4 years"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	269578
	"4 years"	"4"	"Female"	"F"	"White"	"2106-3"	973200
	"4 years"	"4"	"Male"	"M"	"Black or African American"	"2054-5"	277219
	"4 years"	"4"	"Male"	"M"	"White"	"2106-3"	1023055
	"5 years"	"5"	"Female"	"F"	"Black or African American"	"2054-5"	272771
	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	981625
	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	279665
	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	1030862
	"6 years"	"6"	"Female"	"F"	"Black or African American"	"2054-5"	282392
	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	1014289
	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	289241
	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	1064647
	"7 years"	"7"	"Female"	"F"	"Black or African American"	"2054-5"	281508
	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	1025985
	"7 years"	"7"	"Male"	"M"	"Black or African American"	"2054-5"	290788
	"7 years"	"7"	"Male"	"M"	"White"	"2106-3"	1079689
	"8 years"	"8"	"Female"	"F"	"Black or African American"	"2054-5"	276414
	"8 years"	"8"	"Female"	"F"	"White"	"2106-3"	1028947
	"8 years"	"8"	"Male"	"M"	"Black or African American"	"2054-5"	283378
	"8 years"	"8"	"Male"	"M"	"White"	"2106-3"	1085691
