"age","gender","race","N"
0,"Male","Non_Hispanic_White",1067836
1,"Male","Non_Hispanic_White",1072490
2,"Male","Non_Hispanic_White",1106564
3,"Male","Non_Hispanic_White",1120214
4,"Male","Non_Hispanic_White",1124920
5,"Male","Non_Hispanic_White",1131643
6,"Male","Non_Hispanic_White",1150276
7,"Male","Non_Hispanic_White",1147659
8,"Male","Non_Hispanic_White",1145513
9,"Male","Non_Hispanic_White",1179144
10,"Male","Non_Hispanic_White",1205277
11,"Male","Non_Hispanic_White",1198189
12,"Male","Non_Hispanic_White",1200380
13,"Male","Non_Hispanic_White",1206476
14,"Male","Non_Hispanic_White",1224330
15,"Male","Non_Hispanic_White",1248643
16,"Male","Non_Hispanic_White",1269544
17,"Male","Non_Hispanic_White",1288994
18,"Male","Non_Hispanic_White",1320766
19,"Male","Non_Hispanic_White",1344296
20,"Male","Non_Hispanic_White",1347730
21,"Male","Non_Hispanic_White",1303506
22,"Male","Non_Hispanic_White",1275908
23,"Male","Non_Hispanic_White",1261129
24,"Male","Non_Hispanic_White",1270075
25,"Male","Non_Hispanic_White",1282481
26,"Male","Non_Hispanic_White",1239361
27,"Male","Non_Hispanic_White",1259822
28,"Male","Non_Hispanic_White",1260034
29,"Male","Non_Hispanic_White",1251359
30,"Male","Non_Hispanic_White",1271283
31,"Male","Non_Hispanic_White",1198617
32,"Male","Non_Hispanic_White",1173119
33,"Male","Non_Hispanic_White",1160360
34,"Male","Non_Hispanic_White",1119780
35,"Male","Non_Hispanic_White",1166791
36,"Male","Non_Hispanic_White",1131223
37,"Male","Non_Hispanic_White",1156576
38,"Male","Non_Hispanic_White",1242466
39,"Male","Non_Hispanic_White",1355485
40,"Male","Non_Hispanic_White",1388769
41,"Male","Non_Hispanic_White",1328022
42,"Male","Non_Hispanic_White",1300216
43,"Male","Non_Hispanic_White",1323718
44,"Male","Non_Hispanic_White",1356312
45,"Male","Non_Hispanic_White",1462909
46,"Male","Non_Hispanic_White",1517535
47,"Male","Non_Hispanic_White",1535143
48,"Male","Non_Hispanic_White",1557126
49,"Male","Non_Hispanic_White",1599333
50,"Male","Non_Hispanic_White",1612745
51,"Male","Non_Hispanic_White",1579763
52,"Male","Non_Hispanic_White",1589672
53,"Male","Non_Hispanic_White",1581043
54,"Male","Non_Hispanic_White",1526969
55,"Male","Non_Hispanic_White",1525394
56,"Male","Non_Hispanic_White",1477822
57,"Male","Non_Hispanic_White",1435695
58,"Male","Non_Hispanic_White",1395204
59,"Male","Non_Hispanic_White",1349380
60,"Male","Non_Hispanic_White",1320525
61,"Male","Non_Hispanic_White",1302860
62,"Male","Non_Hispanic_White",1309917
63,"Male","Non_Hispanic_White",1405182
64,"Male","Non_Hispanic_White",1003276
65,"Male","Non_Hispanic_White",993395
66,"Male","Non_Hispanic_White",982364
67,"Male","Non_Hispanic_White",1024826
68,"Male","Non_Hispanic_White",882772
69,"Male","Non_Hispanic_White",800088
70,"Male","Non_Hispanic_White",753657
71,"Male","Non_Hispanic_White",720429
72,"Male","Non_Hispanic_White",690905
73,"Male","Non_Hispanic_White",636694
74,"Male","Non_Hispanic_White",609347
75,"Male","Non_Hispanic_White",585664
76,"Male","Non_Hispanic_White",529176
77,"Male","Non_Hispanic_White",515647
78,"Male","Non_Hispanic_White",496906
79,"Male","Non_Hispanic_White",476471
80,"Male","Non_Hispanic_White",455938
81,"Male","Non_Hispanic_White",415431
82,"Male","Non_Hispanic_White",390149
83,"Male","Non_Hispanic_White",357979
84,"Male","Non_Hispanic_White",318349
85,"Male","Non_Hispanic_White",262674
