"age","gender","race","N"
0,"Male","Non_Hispanic_White",1155250
1,"Male","Non_Hispanic_White",1144905
2,"Male","Non_Hispanic_White",1144151
3,"Male","Non_Hispanic_White",1174759
4,"Male","Non_Hispanic_White",1159039
5,"Male","Non_Hispanic_White",1163389
6,"Male","Non_Hispanic_White",1161537
7,"Male","Non_Hispanic_White",1173787
8,"Male","Non_Hispanic_White",1208879
9,"Male","Non_Hispanic_White",1234418
10,"Male","Non_Hispanic_White",1268267
11,"Male","Non_Hispanic_White",1292181
12,"Male","Non_Hispanic_White",1328206
13,"Male","Non_Hispanic_White",1360707
14,"Male","Non_Hispanic_White",1393290
15,"Male","Non_Hispanic_White",1358832
16,"Male","Non_Hispanic_White",1346363
17,"Male","Non_Hispanic_White",1337060
18,"Male","Non_Hispanic_White",1347906
19,"Male","Non_Hispanic_White",1353931
20,"Male","Non_Hispanic_White",1306151
21,"Male","Non_Hispanic_White",1312508
22,"Male","Non_Hispanic_White",1289988
23,"Male","Non_Hispanic_White",1281434
24,"Male","Non_Hispanic_White",1256707
25,"Male","Non_Hispanic_White",1200361
26,"Male","Non_Hispanic_White",1154588
27,"Male","Non_Hispanic_White",1140231
28,"Male","Non_Hispanic_White",1106370
29,"Male","Non_Hispanic_White",1143628
30,"Male","Non_Hispanic_White",1130720
31,"Male","Non_Hispanic_White",1151769
32,"Male","Non_Hispanic_White",1253375
33,"Male","Non_Hispanic_White",1360618
34,"Male","Non_Hispanic_White",1407264
35,"Male","Non_Hispanic_White",1344809
36,"Male","Non_Hispanic_White",1313889
37,"Male","Non_Hispanic_White",1335607
38,"Male","Non_Hispanic_White",1378145
39,"Male","Non_Hispanic_White",1503633
40,"Male","Non_Hispanic_White",1544664
41,"Male","Non_Hispanic_White",1561143
42,"Male","Non_Hispanic_White",1588549
43,"Male","Non_Hispanic_White",1625229
44,"Male","Non_Hispanic_White",1648680
45,"Male","Non_Hispanic_White",1598410
46,"Male","Non_Hispanic_White",1623933
47,"Male","Non_Hispanic_White",1614402
48,"Male","Non_Hispanic_White",1552817
49,"Male","Non_Hispanic_White",1575345
50,"Male","Non_Hispanic_White",1511466
51,"Male","Non_Hispanic_White",1480656
52,"Male","Non_Hispanic_White",1438806
53,"Male","Non_Hispanic_White",1400637
54,"Male","Non_Hispanic_White",1397069
55,"Male","Non_Hispanic_White",1355360
56,"Male","Non_Hispanic_White",1369962
57,"Male","Non_Hispanic_White",1468661
58,"Male","Non_Hispanic_White",1061260
59,"Male","Non_Hispanic_White",1058845
60,"Male","Non_Hispanic_White",1045802
61,"Male","Non_Hispanic_White",1103176
62,"Male","Non_Hispanic_White",959302
63,"Male","Non_Hispanic_White",881787
64,"Male","Non_Hispanic_White",845933
65,"Male","Non_Hispanic_White",810505
66,"Male","Non_Hispanic_White",789172
67,"Male","Non_Hispanic_White",738858
68,"Male","Non_Hispanic_White",718983
69,"Male","Non_Hispanic_White",711488
70,"Male","Non_Hispanic_White",644933
71,"Male","Non_Hispanic_White",645943
72,"Male","Non_Hispanic_White",633941
73,"Male","Non_Hispanic_White",624912
74,"Male","Non_Hispanic_White",617153
75,"Male","Non_Hispanic_White",575673
76,"Male","Non_Hispanic_White",565779
77,"Male","Non_Hispanic_White",537030
78,"Male","Non_Hispanic_White",499430
79,"Male","Non_Hispanic_White",477046
80,"Male","Non_Hispanic_White",436063
81,"Male","Non_Hispanic_White",398448
82,"Male","Non_Hispanic_White",366840
83,"Male","Non_Hispanic_White",332153
84,"Male","Non_Hispanic_White",285167
85,"Male","Non_Hispanic_White",203933
86,"Male","Non_Hispanic_White",184318
87,"Male","Non_Hispanic_White",161998
88,"Male","Non_Hispanic_White",137295
89,"Male","Non_Hispanic_White",117522
90,"Male","Non_Hispanic_White",97186
91,"Male","Non_Hispanic_White",78330
92,"Male","Non_Hispanic_White",62677
93,"Male","Non_Hispanic_White",49130
94,"Male","Non_Hispanic_White",35061
95,"Male","Non_Hispanic_White",24003
96,"Male","Non_Hispanic_White",17491
97,"Male","Non_Hispanic_White",11340
98,"Male","Non_Hispanic_White",7417
99,"Male","Non_Hispanic_White",4790
0,"Female","Non_Hispanic_White",1097641
1,"Female","Non_Hispanic_White",1089792
2,"Female","Non_Hispanic_White",1089445
3,"Female","Non_Hispanic_White",1120719
4,"Female","Non_Hispanic_White",1099880
5,"Female","Non_Hispanic_White",1103529
6,"Female","Non_Hispanic_White",1102848
7,"Female","Non_Hispanic_White",1117132
8,"Female","Non_Hispanic_White",1143862
9,"Female","Non_Hispanic_White",1166181
10,"Female","Non_Hispanic_White",1199861
11,"Female","Non_Hispanic_White",1221102
12,"Female","Non_Hispanic_White",1260639
13,"Female","Non_Hispanic_White",1290135
14,"Female","Non_Hispanic_White",1315398
15,"Female","Non_Hispanic_White",1285200
16,"Female","Non_Hispanic_White",1273061
17,"Female","Non_Hispanic_White",1263726
18,"Female","Non_Hispanic_White",1279993
19,"Female","Non_Hispanic_White",1289488
20,"Female","Non_Hispanic_White",1246616
21,"Female","Non_Hispanic_White",1257695
22,"Female","Non_Hispanic_White",1257316
23,"Female","Non_Hispanic_White",1276711
24,"Female","Non_Hispanic_White",1261687
25,"Female","Non_Hispanic_White",1197538
26,"Female","Non_Hispanic_White",1152737
27,"Female","Non_Hispanic_White",1132589
28,"Female","Non_Hispanic_White",1088860
29,"Female","Non_Hispanic_White",1121555
30,"Female","Non_Hispanic_White",1106609
31,"Female","Non_Hispanic_White",1137762
32,"Female","Non_Hispanic_White",1236631
33,"Female","Non_Hispanic_White",1348643
34,"Female","Non_Hispanic_White",1382337
35,"Female","Non_Hispanic_White",1325435
36,"Female","Non_Hispanic_White",1301485
37,"Female","Non_Hispanic_White",1329366
38,"Female","Non_Hispanic_White",1372911
39,"Female","Non_Hispanic_White",1492191
40,"Female","Non_Hispanic_White",1547164
41,"Female","Non_Hispanic_White",1570432
42,"Female","Non_Hispanic_White",1594574
43,"Female","Non_Hispanic_White",1636534
44,"Female","Non_Hispanic_White",1647323
45,"Female","Non_Hispanic_White",1612930
46,"Female","Non_Hispanic_White",1635669
47,"Female","Non_Hispanic_White",1633292
48,"Female","Non_Hispanic_White",1574064
49,"Female","Non_Hispanic_White",1589041
50,"Female","Non_Hispanic_White",1542996
51,"Female","Non_Hispanic_White",1513002
52,"Female","Non_Hispanic_White",1468451
53,"Female","Non_Hispanic_White",1437993
54,"Female","Non_Hispanic_White",1428411
55,"Female","Non_Hispanic_White",1399751
56,"Female","Non_Hispanic_White",1412890
57,"Female","Non_Hispanic_White",1519504
58,"Female","Non_Hispanic_White",1104580
59,"Female","Non_Hispanic_White",1107254
60,"Female","Non_Hispanic_White",1104323
61,"Female","Non_Hispanic_White",1169812
62,"Female","Non_Hispanic_White",1027639
63,"Female","Non_Hispanic_White",952004
64,"Female","Non_Hispanic_White",916833
65,"Female","Non_Hispanic_White",883480
66,"Female","Non_Hispanic_White",869390
67,"Female","Non_Hispanic_White",822200
68,"Female","Non_Hispanic_White",809822
69,"Female","Non_Hispanic_White",813268
70,"Female","Non_Hispanic_White",747370
71,"Female","Non_Hispanic_White",757956
72,"Female","Non_Hispanic_White",757717
73,"Female","Non_Hispanic_White",760142
74,"Female","Non_Hispanic_White",768711
75,"Female","Non_Hispanic_White",730332
76,"Female","Non_Hispanic_White",737141
77,"Female","Non_Hispanic_White",720872
78,"Female","Non_Hispanic_White",696533
79,"Female","Non_Hispanic_White",692256
80,"Female","Non_Hispanic_White",658795
81,"Female","Non_Hispanic_White",616514
82,"Female","Non_Hispanic_White",591042
83,"Female","Non_Hispanic_White",552964
84,"Female","Non_Hispanic_White",500499
85,"Female","Non_Hispanic_White",376846
86,"Female","Non_Hispanic_White",357929
87,"Female","Non_Hispanic_White",329524
88,"Female","Non_Hispanic_White",294673
89,"Female","Non_Hispanic_White",268495
90,"Female","Non_Hispanic_White",235321
91,"Female","Non_Hispanic_White",198482
92,"Female","Non_Hispanic_White",169172
93,"Female","Non_Hispanic_White",138649
94,"Female","Non_Hispanic_White",107451
95,"Female","Non_Hispanic_White",78812
96,"Female","Non_Hispanic_White",61987
97,"Female","Non_Hispanic_White",43470
98,"Female","Non_Hispanic_White",31575
99,"Female","Non_Hispanic_White",22123
0,"Male","Non_Hispanic_Black",295174
1,"Male","Non_Hispanic_Black",293011
2,"Male","Non_Hispanic_Black",297082
3,"Male","Non_Hispanic_Black",305277
4,"Male","Non_Hispanic_Black",297917
5,"Male","Non_Hispanic_Black",296322
6,"Male","Non_Hispanic_Black",298988
7,"Male","Non_Hispanic_Black",299533
8,"Male","Non_Hispanic_Black",305474
9,"Male","Non_Hispanic_Black",321197
10,"Male","Non_Hispanic_Black",339756
11,"Male","Non_Hispanic_Black",347018
12,"Male","Non_Hispanic_Black",350300
13,"Male","Non_Hispanic_Black",355175
14,"Male","Non_Hispanic_Black",359601
15,"Male","Non_Hispanic_Black",342438
16,"Male","Non_Hispanic_Black",330758
17,"Male","Non_Hispanic_Black",321158
18,"Male","Non_Hispanic_Black",318825
19,"Male","Non_Hispanic_Black",315108
20,"Male","Non_Hispanic_Black",302436
21,"Male","Non_Hispanic_Black",300908
22,"Male","Non_Hispanic_Black",291115
23,"Male","Non_Hispanic_Black",282364
24,"Male","Non_Hispanic_Black",278696
25,"Male","Non_Hispanic_Black",258359
26,"Male","Non_Hispanic_Black",239474
27,"Male","Non_Hispanic_Black",233562
28,"Male","Non_Hispanic_Black",223796
29,"Male","Non_Hispanic_Black",228966
30,"Male","Non_Hispanic_Black",226430
31,"Male","Non_Hispanic_Black",233571
32,"Male","Non_Hispanic_Black",245666
33,"Male","Non_Hispanic_Black",256012
34,"Male","Non_Hispanic_Black",260476
35,"Male","Non_Hispanic_Black",241791
36,"Male","Non_Hispanic_Black",241405
37,"Male","Non_Hispanic_Black",239370
38,"Male","Non_Hispanic_Black",253803
39,"Male","Non_Hispanic_Black",272009
40,"Male","Non_Hispanic_Black",267664
41,"Male","Non_Hispanic_Black",263880
42,"Male","Non_Hispanic_Black",263036
43,"Male","Non_Hispanic_Black",263143
44,"Male","Non_Hispanic_Black",274275
45,"Male","Non_Hispanic_Black",255669
46,"Male","Non_Hispanic_Black",253422
47,"Male","Non_Hispanic_Black",249044
48,"Male","Non_Hispanic_Black",236341
